"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
552,"Damasco 2005","Rio de Janeiro, Brazil",2002,18,30,NA,NA,82,8,90,NA,NA,NA,NA,0.911111111111111
552,"Damasco 2005","Rio de Janeiro, Brazil",2002,31,40,NA,NA,65,13,78,NA,NA,NA,NA,0.833333333333333
552,"Damasco 2005","Rio de Janeiro, Brazil",2002,41,50,NA,NA,34,10,44,NA,NA,NA,NA,0.772727272727273
552,"Damasco 2005","Rio de Janeiro, Brazil",2002,51,61,NA,NA,19,3,22,NA,NA,NA,NA,0.863636363636364
422,"Shokouh 2017","Mashhad, Iran",2017,18,34,22,57,20,29,49,NA,NA,0.448979591836735,0.0116326530612245,0.408163265306122
422,"Shokouh 2017","Mashhad, Iran",2017,35,50,34,64,2,57,59,NA,NA,0.576271186440678,0.0108474576271186,0.0338983050847458
422,"Shokouh 2017","Mashhad, Iran",2017,51,80,32,65,3,69,72,NA,NA,0.444444444444444,0.902777777777778,0.0416666666666667
422,"Shokouh 2017","Mashhad, Iran",2017,18,34,24,57,19,2,21,NA,NA,0.0114285714285714,0.0271428571428571,0.904761904761905
422,"Shokouh 2017","Mashhad, Iran",2017,35,50,46,46,7,21,28,NA,NA,0.0164285714285714,0.0164285714285714,0.25
422,"Shokouh 2017","Mashhad, Iran",2017,51,80,47,47,6,28,34,NA,NA,0.0138235294117647,0.0138235294117647,0.176470588235294
NA,"Jenum et al 1995","Finnmark, Norway",NA,10,20,194,48,0,242,242,NA,NA,0,0.1985,0.798
NA,"Jenum et al 1995","Finnmark, Norway",NA,20,30,204,36,0,240,240,NA,NA,0,0.15,0.84
NA,"Jenum et al 1995","Finnmark, Norway",NA,30,40,171,70,0,241,241,NA,NA,0,0.2877777778,0.7022222222
NA,"Jenum et al 1995","Finnmark, Norway",NA,40,50,156,62,21,218,239,NA,NA,0.085,0.255,0.64
NA,"Jenum et al 1995","Finnmark, Norway",NA,50,60,156,58,26,214,240,NA,NA,0.1062162162,0.2405405405,0.642972973
NA,"Jenum et al 1995","Finnmark, Norway",NA,60,70,87,75,75,162,237,NA,NA,0.31,0.3094736842,0.36
NA,"Jenum et al 1995","Finnmark, Norway",NA,70,80,48,135,56,183,239,NA,NA,0.2312,0.5552,0.198
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,10,20,208,14,5,222,227,NA,NA,0.02204081633,0.0606122449,0.9173469388
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,20,30,166,50,8,216,224,NA,NA,0.03653061224,0.22,0.7334693878
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,30,40,106,113,8,219,227,NA,NA,0.034,0.4973333333,0.4686666667
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,40,50,44,128,53,172,225,NA,NA,0.235,0.565,0.195
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,50,60,83,61,84,144,228,NA,NA,0.37,0.27,0.3663333333
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,60,70,68,121,39,189,228,NA,NA,0.1713333333,0.5326666667,0.3006666667
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,70,80,177,51,0,228,228,NA,NA,0,0.2233333333,0.78
NA,"Garcia-Corbeira 1999","Spain",NA,5,12,2015,726,1203,2741,3944,NA,NA,0.305,0.184,0.511
NA,"Garcia-Corbeira 1999","Spain",NA,13,19,1029,864,2051,1893,3944,NA,NA,0.52,0.219,0.261
NA,"Garcia-Corbeira 1999","Spain",NA,20,29,611,816,2516,1427,3943,NA,NA,0.638,0.207,0.155
NA,"Garcia-Corbeira 1999","Spain",NA,30,39,560,773,2611,1333,3944,NA,NA,0.662,0.196,0.142
NA,"Garcia-Corbeira 1999","Spain",NA,40,49,801,824,2319,1625,3944,NA,NA,0.588,0.209,0.203
NA,"Garcia-Corbeira 1999","Spain",NA,50,59,1160,864,1704,2024,3728,NA,NA,0.432,0.219,0.294
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,20,29,NA,NA,159,180,339,NA,NA,0.469,NA,0.531
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,30,39,NA,NA,226,113,339,NA,NA,0.667,NA,0.333
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,40,49,NA,NA,235,104,339,NA,NA,0.694,NA,0.306
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,50,59,NA,NA,174,165,339,NA,NA,0.512,NA,0.488
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,60,80,NA,NA,138,201,339,NA,NA,0.407,NA,0.593
NA,"Yuan et al. 1997","Toronto",NA,20,29,278,315,121,593,714,NA,NA,0.17,0.444,0.392
NA,"Yuan et al. 1997","Toronto",NA,30,39,329,287,94,616,710,NA,NA,0.133,0.404,0.463
NA,"Yuan et al. 1997","Toronto",NA,40,49,315,251,144,566,710,NA,NA,0.203,0.354,0.443
NA,"Yuan et al. 1997","Toronto",NA,50,59,202,313,195,515,710,NA,NA,0.275,0.441,0.284
NA,"Yuan et al. 1997","Toronto",NA,60,80,99,315,297,414,711,NA,NA,0.418,0.443,0.139
NA,"Walory et al. 2000","Poland",NA,0.16,0.16,193,2656,1980,2849,4829,NA,NA,0.41,0.55,0.04
NA,"Walory et al. 2000","Poland",NA,0.16,18,1111,3187,531,4298,4829,NA,NA,0.11,0.66,0.23
NA,"Walory et al. 2000","Poland",NA,19,80,241,3042,1545,3283,4828,NA,NA,0.32,0.63,0.05
214,"Maple et al. 1995","North London, UK",NA,20,29,63,86,101,149,250,1000,NA,0.25,0.344,0.404
214,"Maple et al. 1995","North London, UK",NA,30,39,93,85,72,178,250,1000,NA,0.372,0.34,0.288
214,"Maple et al. 1995","North London, UK",NA,40,49,88,77,85,165,250,1000,NA,0.352,0.308,0.34
214,"Maple et al. 1995","North London, UK",NA,50,59,132,67,51,199,250,1000,NA,0.528,0.268,0.204
NA,"Chironna et al. 1993","Kosovo",NA,0,10,468,87,78,555,633,NA,NA,0.123,0.138,0.739
NA,"Chironna et al. 1993","Kosovo",NA,11,20,438,111,84,549,633,NA,NA,0.133,0.175,0.692
NA,"Chironna et al. 1993","Kosovo",NA,21,30,95,401,137,496,633,NA,NA,0.217,0.633,0.15
NA,"Chironna et al. 1993","Kosovo",NA,30,80,81,503,49,584,633,NA,NA,0.077,0.795,0.128
NA,"Chironna et al. 1993","Turkey",NA,0,10,116,37,49,153,202,NA,NA,0.242,0.182,0.576
NA,"Chironna et al. 1993","Turkey",NA,11,20,85,85,32,170,202,NA,NA,0.157,0.422,0.422
NA,"Chironna et al. 1993","Turkey",NA,21,30,58,93,51,151,202,NA,NA,0.25,0.462,0.288
NA,"Chironna et al. 1993","Turkey",NA,30,80,42,130,30,172,202,NA,NA,0.147,0.644,0.206
NA,"Chironna et al. 1993","Iraq",NA,0,10,120,94,47,214,261,NA,NA,0.18,0.361,0.459
NA,"Chironna et al. 1993","Iraq",NA,11,20,148,89,25,237,262,NA,NA,0.094,0.34,0.566
NA,"Chironna et al. 1993","Iraq",NA,21,30,121,92,48,213,261,NA,NA,0.182,0.354,0.465
NA,"Chironna et al. 1993","Iraq",NA,30,80,125,114,22,239,261,NA,NA,0.083,0.438,0.479
NA,"Marolvits et al. 2000","Vienna",NA,18,24,333,142,59,475,534,NA,NA,0.11,0.266,0.623
NA,"Marolvits et al. 2000","Vienna",NA,25,29,335,82,117,417,534,NA,NA,0.22,0.153,0.627
NA,"Marolvits et al. 2000","Vienna",NA,30,39,219,147,168,366,534,NA,NA,0.315,0.275,0.41
NA,"Marolvits et al. 2000","Vienna",NA,40,49,127,160,247,287,534,NA,NA,0.463,0.3,0.238
NA,"Marolvits et al. 2000","Vienna",NA,50,70,84,225,225,309,534,NA,NA,0.421,0.421,0.158
NA,"Mark et al. 1989","Sweeden",NA,5,5,103,239,7,342,349,NA,NA,0.014,0.495,0.214
NA,"Mark et al. 1989","Sweeden",NA,6,6,13,313,102,326,428,NA,NA,0.211,0.65,0.028
NA,"Mark et al. 1989","Sweeden",NA,10,10,8,196,326,204,530,NA,NA,0.676,0.406,0.017
